epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30003,4.29733,3.93993,3.32348,0.00083,0.02137,0.00043,0.0002,4.62915,4.31592,3.67759,2e-05,2e-05,2e-05
2,14.3011,4.28917,3.84248,3.13521,0.00133,0.03419,0.00072,0.00039,4.32322,4.13605,3.30773,5.8812e-05,5.8812e-05,5.8812e-05
3,21.2376,4.28798,3.7934,3.15271,0.00233,0.05983,0.00387,0.00139,3.81077,3.95407,2.74031,9.604e-05,9.604e-05,9.604e-05
4,28.3476,4.01174,3.64014,2.61661,0.005,0.12821,0.01061,0.00343,3.39926,3.75865,2.25946,0.000131684,0.000131684,0.000131684
5,35.4456,3.40666,3.3819,2.27518,0.0165,0.42308,0.03886,0.01016,3.24924,3.49965,2.11726,0.000165744,0.000165744,0.000165744
6,42.3704,3.0202,3.07899,1.97192,0.017,0.4359,0.05531,0.01504,3.44643,3.43182,2.24307,0.00019822,0.00019822,0.00019822
7,49.2777,3.01544,2.70904,1.8519,0.01583,0.40598,0.05479,0.01419,2.90902,3.37204,2.31031,0.000229112,0.000229112,0.000229112
8,56.088,2.85996,2.2319,1.82519,0.023,0.58974,0.09015,0.02383,2.64349,3.02829,2.12932,0.00025842,0.00025842,0.00025842
9,62.9455,2.64747,1.88275,1.7084,0.0295,0.75641,0.18611,0.04526,2.58723,2.86599,2.03881,0.000286144,0.000286144,0.000286144
10,69.8688,2.71488,1.93885,1.7359,0.03067,0.78632,0.22282,0.05647,2.48252,2.79749,1.97054,0.000312284,0.000312284,0.000312284
11,76.693,2.52771,2.11197,1.6736,0.031,0.79487,0.15626,0.03879,2.44934,2.82378,1.88581,0.00033684,0.00033684,0.00033684
12,83.5878,2.29736,1.93036,1.72546,0.02883,0.73932,0.07054,0.0232,2.40378,2.8693,1.79066,0.000359812,0.000359812,0.000359812
13,90.3737,2.28373,2.0107,1.63079,0.02783,0.71368,0.07855,0.02656,2.37148,2.87128,1.72034,0.0003812,0.0003812,0.0003812
14,97.3912,2.42633,1.86048,1.58934,0.02967,0.76068,0.11569,0.04155,2.23096,2.81386,1.62156,0.000401004,0.000401004,0.000401004
15,104.236,2.3004,1.94108,1.5468,0.03183,0.81624,0.17127,0.06034,2.17485,2.76452,1.57208,0.000419224,0.000419224,0.000419224
16,111.199,2.25359,1.85588,1.43011,0.0325,0.83333,0.19123,0.07027,2.13142,2.71094,1.56884,0.00043586,0.00043586,0.00043586
17,118.101,2.37626,2.06279,1.52782,0.03267,0.83761,0.15065,0.05505,2.13986,2.73145,1.58097,0.000450912,0.000450912,0.000450912
18,124.959,2.22605,1.82199,1.46038,0.0325,0.83333,0.14599,0.05251,2.1354,2.75466,1.62096,0.00046438,0.00046438,0.00046438
19,131.778,2.0571,1.91383,1.42127,0.033,0.84615,0.20436,0.08038,2.08904,2.77073,1.58806,0.000476264,0.000476264,0.000476264
20,138.646,2.06755,1.91372,1.36825,0.03045,0.39977,0.21868,0.08365,2.1221,2.74492,1.57456,0.000486564,0.000486564,0.000486564
21,145.485,2.19644,1.66711,1.39547,0.51311,0.14103,0.2211,0.09021,2.09982,2.6974,1.54972,0.00049528,0.00049528,0.00049528
22,152.34,2.20325,1.76732,1.36941,0.72725,0.0798,0.23837,0.09941,2.07098,2.64847,1.52996,0.000502412,0.000502412,0.000502412
23,159.14,2.02407,1.77282,1.41812,0.86493,0.07265,0.24518,0.11538,2.03305,2.66735,1.56642,0.00050796,0.00050796,0.00050796
24,165.96,1.9941,1.71073,1.36484,0.65957,0.08283,0.26466,0.12986,1.95365,2.63619,1.53221,0.000511924,0.000511924,0.000511924
25,172.909,1.86127,1.76244,1.33995,0.94383,0.07185,0.30544,0.14687,1.93456,2.59315,1.49521,0.000514304,0.000514304,0.000514304
26,179.714,1.92975,1.6776,1.36004,0.88605,0.06652,0.28522,0.13434,2.0493,2.63901,1.50311,0.0005151,0.0005151,0.0005151
27,186.543,1.9591,1.81956,1.41315,0.76442,0.06937,0.28327,0.13194,2.06018,2.60443,1.49682,0.000514312,0.000514312,0.000514312
28,193.276,1.96592,1.84232,1.40976,0.76442,0.06937,0.28327,0.13194,2.06018,2.60443,1.49682,0.00051194,0.00051194,0.00051194
29,200.106,1.88522,1.60405,1.37505,0.73654,0.09402,0.32415,0.15441,1.92373,2.47437,1.47569,0.000507984,0.000507984,0.000507984
30,206.996,1.88108,1.75245,1.35312,0.66873,0.14667,0.36746,0.17141,1.82006,2.34204,1.43888,0.000502444,0.000502444,0.000502444
31,213.738,2.02533,1.61969,1.37899,0.66873,0.14667,0.36746,0.17141,1.82006,2.34204,1.43888,0.00049532,0.00049532,0.00049532
32,220.644,1.94192,1.7852,1.41468,0.59473,0.13675,0.38953,0.18974,1.76116,2.25944,1.42091,0.000486612,0.000486612,0.000486612
33,227.487,1.89316,1.64017,1.39211,0.61939,0.25214,0.44132,0.21903,1.74041,2.17494,1.39141,0.00047632,0.00047632,0.00047632
34,234.208,1.69713,1.59771,1.37478,0.61939,0.25214,0.44132,0.21903,1.74041,2.17494,1.39141,0.000464444,0.000464444,0.000464444
35,241.012,2.04349,1.59116,1.24518,0.58793,0.36325,0.4812,0.24194,1.6835,2.08831,1.36411,0.000450984,0.000450984,0.000450984
36,247.926,1.93592,1.81227,1.35106,0.53219,0.46154,0.49173,0.25017,1.68784,2.02716,1.35655,0.00043594,0.00043594,0.00043594
37,254.757,1.95649,1.50984,1.32711,0.53219,0.46154,0.49173,0.25017,1.68784,2.02716,1.35655,0.000419312,0.000419312,0.000419312
38,261.57,1.9481,1.67829,1.35216,0.48595,0.52137,0.49221,0.23766,1.7377,1.96794,1.3653,0.0004011,0.0004011,0.0004011
39,268.412,1.89864,1.49846,1.33794,0.40037,0.52137,0.45541,0.21922,1.78485,1.89597,1.36098,0.000381304,0.000381304,0.000381304
40,275.089,1.83802,1.53867,1.25136,0.40037,0.52137,0.45541,0.21922,1.78485,1.89597,1.36098,0.000359924,0.000359924,0.000359924
41,281.769,2.0284,1.79102,1.38952,0.42895,0.55213,0.46553,0.2296,1.74147,1.81706,1.33564,0.00033696,0.00033696,0.00033696
42,288.524,1.77188,1.75314,1.23178,0.46468,0.61538,0.49257,0.24855,1.64598,1.74952,1.31663,0.000312412,0.000312412,0.000312412
43,295.167,2.14764,2.02185,1.44836,0.46468,0.61538,0.49257,0.24855,1.64598,1.74952,1.31663,0.00028628,0.00028628,0.00028628
44,301.875,1.63273,1.65503,1.33698,0.49077,0.63675,0.53358,0.26887,1.57136,1.72241,1.30155,0.000258564,0.000258564,0.000258564
45,308.63,1.69044,1.9607,1.39292,0.49077,0.63675,0.53358,0.26887,1.57136,1.72241,1.30155,0.000229264,0.000229264,0.000229264
46,315.554,1.70484,1.75195,1.33153,0.49393,0.64651,0.56113,0.27563,1.56356,1.71539,1.29933,0.00019838,0.00019838,0.00019838
47,322.313,1.83561,1.65497,1.2651,0.49393,0.64651,0.56113,0.27563,1.56356,1.71539,1.29933,0.000165912,0.000165912,0.000165912
48,329.072,1.76258,1.7334,1.23382,0.4863,0.64957,0.57887,0.29251,1.56909,1.68874,1.29827,0.00013186,0.00013186,0.00013186
49,335.793,1.73999,1.86069,1.353,0.4863,0.64957,0.57887,0.29251,1.56909,1.68874,1.29827,9.6224e-05,9.6224e-05,9.6224e-05
50,342.517,1.72664,1.61011,1.22706,0.50763,0.65649,0.59154,0.30597,1.55509,1.652,1.2982,5.9004e-05,5.9004e-05,5.9004e-05
